lng,lat
-80.198465,39.505538
-80.178838,39.491836
-80.20559,39.51491
-80.208327,39.514952
-80.206022,39.496572
-80.19361,39.500788
-80.173519,39.495171
-80.163542,39.492497
-80.21198,39.513659
-80.199786,39.5159
-80.216407,39.518402
-80.184495,39.501726
-80.172522,39.491289
-80.195797,39.492818
-80.166886,39.488143
-80.166882,39.488233
-80.214099,39.51477
-80.183889,39.484361
-80.207725,39.519259
-80.172964,39.491026
-80.163102,39.499864
-80.192941,39.488548
-80.193675,39.488199
-80.215564,39.51785
-80.185515,39.483307
-80.163793,39.496997
-80.158276,39.494483
-80.194671,39.506739
-80.167365,39.483385
-80.167321,39.48806
-80.172881,39.482302
-80.197319,39.509028
-80.160434,39.501711
-80.215936,39.504636
-80.215377,39.5263
-80.185591,39.485017
-80.164763,39.483614
-80.159271,39.501962
-80.18286,39.484885
-80.166709,39.492547
-80.165997,39.492356
-80.214056,39.519535
-80.205446,39.514908
-80.176955,39.48848
-80.15865,39.495928
-80.227035,39.519372
-80.192799,39.499426
-80.173334,39.481769
-80.196819,39.510729
-80.193059,39.50015
-80.157984,39.494568
-80.170251,39.486847
-80.22116,39.514787
-80.178139,39.487689
-80.21809,39.51591
-80.210203,39.511203
-80.214021,39.524121
-80.209563,39.516499
-80.178728,39.480144
-80.15588,39.489589
-80.203266,39.50804
-80.182567,39.481373
-80.215743,39.505892
-80.157499,39.492312
-80.205256,39.516074
-80.180503,39.486197
-80.193459,39.500965
-80.160914,39.496952
-80.210912,39.518858
-80.179323,39.486898
-80.190458,39.489409
-80.224558,39.520054
-80.201846,39.522136
-80.210248,39.517409
-80.181786,39.479293
-80.178436,39.48023
-80.156758,39.49284
-80.208464,39.515134
-80.193462,39.500875
-80.156165,39.489684
-80.19361,39.500788
-80.169718,39.492953
-80.202383,39.512163
-80.17626,39.484243
-80.167361,39.483474
-80.168203,39.487624
-80.198869,39.506264
-80.194628,39.49325
-80.167994,39.492837
-80.16662,39.487599
-80.167653,39.483389
-80.206229,39.498643
-80.186404,39.482691
-80.173331,39.481859
-80.18578,39.480254
-80.202664,39.497689
-80.173755,39.482045
-80.201527,39.508283
-80.19279,39.488725
-80.182712,39.484972
-80.170837,39.486586
-80.160578,39.501713
-80.161495,39.48608
-80.197795,39.511553
-80.188655,39.487672
-80.157341,39.49267
-80.187321,39.492238
-80.173897,39.496526
-80.204204,39.520824
-80.204365,39.509406
-80.209282,39.516315
-80.178456,39.490572
-80.186209,39.502112
-80.185633,39.480341
-80.184611,39.480685
-80.172792,39.495339
-80.191112,39.494724
-80.17391,39.485375
-80.194273,39.509521
-80.180618,39.501396
-80.188218,39.502323
-80.209967,39.517225
-80.166296,39.488494
-80.16943,39.496546
-80.167177,39.488058
-80.160171,39.501077
-80.167519,39.497505
-80.199786,39.5159
-80.179172,39.487076
-80.216361,39.515883
-80.170697,39.490091
-80.17499,39.483593
-80.18083,39.485213
-80.22155,39.515872
-80.206402,39.512584
-80.175087,39.484764
-80.205994,39.515635
-80.163316,39.483771
-80.215564,39.51785
-80.165788,39.490374
-80.198863,39.491786
-80.214025,39.524031
-80.181239,39.478565
-80.206159,39.496754
-80.167653,39.483389
-80.157211,39.492308
-80.188655,39.487672
-80.196032,39.49417
-80.209696,39.516771
-80.177109,39.481019
-80.196093,39.499927
-80.221297,39.514969
-80.194612,39.497296
-80.187454,39.481629
-80.184331,39.484098
-80.174936,39.484941
-80.184348,39.490933
-80.184191,39.484006
-80.207855,39.51962
-80.188795,39.487764
-80.204561,39.497089
-80.215898,39.527746
-80.222692,39.516159
-80.186404,39.482691
-80.175627,39.489269
-80.196015,39.509188
-80.187642,39.502314
-80.180015,39.491225
-80.182272,39.481548
-80.201073,39.512503
-80.215564,39.51785
-80.170772,39.488204
-80.189939,39.495246
-80.190828,39.501914
-80.183856,39.481573
-80.172057,39.492091
-80.193227,39.492239
-80.15954,39.491715
-80.194437,39.51267
-80.200994,39.492538
-80.173594,39.493284
-80.183028,39.495139
-80.209149,39.516043
-80.226358,39.52197
-80.195176,39.508545
-80.175821,39.484416
-80.158682,39.484418
-80.191108,39.502098
-80.209353,39.510831
-80.174717,39.494021
-80.18564,39.480162
-80.196,39.494979
-80.185373,39.479618
-80.161249,39.492191
-80.161525,39.49966
-80.159196,39.500252
-80.209245,39.506243
-80.178436,39.48023
-80.223353,39.521385
-80.174854,39.494202
-80.218297,39.517981
-80.21173,39.520039
-80.157067,39.492306
-80.162659,39.500127
-80.173782,39.495804
-80.200555,39.492711
-80.184331,39.484098
-80.179134,39.495258
-80.214861,39.517389
-80.216407,39.518402
-80.20517,39.50726
-80.186925,39.502213
-80.187321,39.492238
-80.175768,39.489361
-80.171129,39.486501
-80.161759,39.501012
-80.152888,39.485226
-80.150127,39.485812
-80.175821,39.484416
-80.179175,39.486986
-80.212538,39.52149
-80.161165,39.501452
-80.181114,39.48171
-80.173382,39.494989
-80.170697,39.490091
-80.205872,39.50772
-80.162041,39.490405
-80.154902,39.488854
-80.205256,39.516074
-80.215564,39.51785
-80.207044,39.496228
-80.188506,39.502328
-80.199159,39.498895
-80.209149,39.516043
-80.193318,39.500873
-80.184211,39.501632
-80.156898,39.492932
-80.166338,39.498206
-80.191404,39.501923
-80.215377,39.5263
-80.187403,39.490171
-80.17259,39.485984
-80.174121,39.501745
-80.216407,39.518402
-80.210648,39.518224
-80.193466,39.500785
-80.185212,39.501827
-80.187842,39.489998
-80.190721,39.490042
-80.204561,39.497089
-80.191006,39.490136
-80.210508,39.518132
-80.198341,39.508684
-80.175965,39.484418
-80.17707,39.485604
-80.203814,39.508768
-80.21173,39.520039
-80.215788,39.504724
-80.193878,39.504928
-80.177247,39.488395
-80.167415,39.48932
-80.195643,39.500369
-80.204084,39.509222
-80.18961,39.492633
-80.212208,39.526251
-80.194419,39.505836
-80.201702,39.522134
-80.162927,39.48988
-80.173172,39.482216
-80.220394,39.515945
-80.185519,39.483217
-80.211867,39.520221
-80.194664,39.506919
-80.170618,39.488471
-80.201558,39.522132
-80.150541,39.486268
-80.175965,39.484418
-80.215788,39.504724
-80.201949,39.493902
-80.166309,39.498925
-80.195616,39.490117
-80.197438,39.509659
-80.226723,39.519997
-80.211783,39.518691
-80.200508,39.508537
-80.176955,39.48848
-80.191484,39.488975
-80.19689,39.508931
-80.179316,39.487078
-80.175688,39.484144
-80.204439,39.507518
-80.177024,39.490369
-80.206549,39.512497
-80.174397,39.494825
-80.173309,39.485995
-80.159261,39.484337
-80.188092,39.494588
-80.173689,39.501738
-80.215781,39.508591
-80.21542,39.517847
-80.17975,39.497876
-80.192506,39.488631
-80.19859,39.498706
-80.215901,39.527656
-80.172241,39.494701
-80.20529,39.522549
-80.163537,39.499781
-80.173464,39.482131
-80.161304,39.490843
-80.194421,39.509433
-80.16337,39.489617
-80.226157,39.519719
-80.15129,39.48556
-80.180236,39.482056
-80.177112,39.480929
-80.157521,39.491773
-80.174054,39.485377
-80.198432,39.499063
-80.183978,39.492995
-80.207602,39.496686
-80.158496,39.492598
-80.170834,39.486676
-80.198655,39.493401
-80.173468,39.485638
-80.175821,39.484416
-80.213881,39.524029
-80.209152,39.515953
-80.179267,39.49553
-80.183032,39.495049
-80.196014,39.487336
-80.209149,39.516043
-80.215244,39.507593
-80.15802,39.497267
-80.169743,39.488727
-80.180471,39.501484
-80.212459,39.501436
-80.188938,39.502334
-80.220436,39.514866
-80.206355,39.517439
-80.177586,39.494335
-80.190314,39.489406
-80.193649,39.492515
-80.176045,39.493232
-80.184272,39.478342
-80.210093,39.517676
-80.166425,39.492452
-80.18578,39.480254
-80.22244,39.52263
-80.192365,39.495823
-80.17319,39.481767
-80.185314,39.484743
-80.181827,39.485498
-80.19265,39.488633
-80.195136,39.487682
-80.168401,39.497069
-80.163752,39.483688
-80.197673,39.511012
-80.195582,39.494613
-80.169293,39.496364
-80.1641,39.489359
-80.198724,39.498978
-80.168966,39.493751
-80.196181,39.490396
-80.190532,39.502089
-80.169121,39.493484
-80.18578,39.480254
-80.208464,39.515134
-80.167174,39.488148
-80.194484,39.500531
-80.184914,39.494808
-80.160578,39.501713
-80.195302,39.494429
-80.206313,39.496486
-80.206022,39.496572
-80.190968,39.502006
-80.214478,39.505064
-80.178923,39.482486
-80.190244,39.502085
-80.168681,39.493657
-80.183978,39.492995
-80.174191,39.481962
-80.150127,39.485812
-80.183978,39.492995
-80.207406,39.516376
-80.199144,39.49197
-80.15588,39.489589
-80.182891,39.494957
-80.193793,39.492517
-80.217693,39.515004
-80.194133,39.509428
-80.198724,39.498978
-80.215244,39.526028
-80.175681,39.484324
-80.159007,39.494225
-80.194761,39.493521
-80.163836,39.499516
-80.174707,39.49429
-80.184316,39.480861
-80.172223,39.491554
-80.184331,39.484098
-80.180503,39.486197
-80.167954,39.497422
-80.195582,39.494613
-80.177012,39.483445
-80.213498,39.508016
-80.17975,39.497876
-80.215683,39.503733
-80.173256,39.49094
-80.197756,39.512542
-80.17552,39.495562
-80.186209,39.502112
-80.173173,39.485813
-80.170693,39.490181
-80.206131,39.515817
-80.185208,39.501917
-80.199742,39.498724
-80.218027,39.517527
-80.206549,39.512497
-80.174205,39.4852
-80.169272,39.493306
-80.219826,39.52313
-80.171766,39.495773
-80.193954,39.499354
-80.192264,39.494742
-80.215244,39.507593
-80.220215,39.516841
-80.187872,39.492876
-80.189014,39.485879
-80.218343,39.5205
-80.161456,39.501367
-80.17142,39.486415
-80.192945,39.488458
-80.18578,39.480254
-80.206549,39.512497
-80.215782,39.527025
-80.174788,39.485029
-80.188668,39.494597
-80.15588,39.489589
-80.209392,39.506155
-80.175821,39.484416
-80.170834,39.486676
-80.1706,39.496115
-80.217924,39.51276
-80.176365,39.48883
-80.214001,39.502539
-80.182492,39.494141
-80.178543,39.492012
-80.200124,39.492705
-80.150825,39.486362
-80.21198,39.524719
-80.157654,39.492045
-80.159031,39.497192
-80.182048,39.490807
-80.159902,39.497026
-80.196692,39.495709
-80.183978,39.492995
-80.202254,39.508114
-80.201677,39.511792
-80.188809,39.494689
-80.21061,39.511839
-80.221027,39.514515
-80.20199,39.522139
-80.203817,39.508678
-80.19212,39.49474
-80.164978,39.489013
-80.168401,39.497069
-80.175624,39.489359
-80.216772,39.523803
-80.171273,39.486503
-80.215261,39.503457
-80.206189,39.507006
-80.170834,39.486676
-80.150275,39.485724
-80.16022,39.492715
-80.216389,39.522538
-80.187321,39.492238
-80.15588,39.489589
-80.196218,39.511349
-80.174851,39.494292
-80.205951,39.516714
-80.182492,39.494141
-80.192678,39.509766
-80.162008,39.494811
-80.173785,39.495715
-80.150271,39.485814
-80.209104,39.506151
-80.182859,39.481288
-80.15588,39.489589
-80.188422,39.489917
-80.150127,39.485812
