lng,lat
-80.198465,31.505538
-80.178838,31.491836
-80.20559,31.51491
-80.208327,31.514952
-80.206022,31.496572
-80.19361,31.500788
-80.173519,31.495171
-80.163542,31.492497
-80.21198,31.513659
-80.199786,31.5159
-80.216407,31.518402
-80.184495,31.501726
-80.172522,31.491289
-80.195797,31.492818
-80.166886,31.488143
-80.166882,31.488233
-80.214099,31.51477
-80.183889,31.484361
-80.207725,31.519259
-80.172964,31.491026
-80.163102,31.499864
-80.192941,31.488548
-80.193675,31.488199
-80.215564,31.51785
-80.185515,31.483307
-80.163793,31.496997
-80.158276,31.494483
-80.194671,31.506739
-80.167365,31.483385
-80.167321,31.48806
-80.172881,31.482302
-80.197319,31.509028
-80.160434,31.501711
-80.215936,31.504636
-80.215377,31.5263
-80.185591,31.485017
-80.164763,31.483614
-80.159271,31.501962
-80.18286,31.484885
-80.166709,31.492547
-80.165997,31.492356
-80.214056,31.519535
-80.205446,31.514908
-80.176955,31.48848
-80.15865,31.495928
-80.227035,31.519372
-80.192799,31.499426
-80.173334,31.481769
-80.196819,31.510729
-80.193059,31.50015
-80.157984,31.494568
-80.170251,31.486847
-80.22116,31.514787
-80.178139,31.487689
-80.21809,31.51591
-80.210203,31.511203
-80.214021,31.524121
-80.209563,31.516499
-80.178728,31.480144
-80.15588,31.489589
-80.203266,31.50804
-80.182567,31.481373
-80.215743,31.505892
-80.157499,31.492312
-80.205256,31.516074
-80.180503,31.486197
-80.193459,31.500965
-80.160914,31.496952
-80.210912,31.518858
-80.179323,31.486898
-80.190458,31.489409
-80.224558,31.520054
-80.201846,31.522136
-80.210248,31.517409
-80.181786,31.479293
-80.178436,31.48023
-80.156758,31.49284
-80.208464,31.515134
-80.193462,31.500875
-80.156165,31.489684
-80.19361,31.500788
-80.169718,31.492953
-80.202383,31.512163
-80.17626,31.484243
-80.167361,31.483474
-80.168203,31.487624
-80.198869,31.506264
-80.194628,31.49325
-80.167994,31.492837
-80.16662,31.487599
-80.167653,31.483389
-80.206229,31.498643
-80.186404,31.482691
-80.173331,31.481859
-80.18578,31.480254
-80.202664,31.497689
-80.173755,31.482045
-80.201527,31.508283
-80.19279,31.488725
-80.182712,31.484972
-80.170837,31.486586
-80.160578,31.501713
-80.161495,31.48608
-80.197795,31.511553
-80.188655,31.487672
-80.157341,31.49267
-80.187321,31.492238
-80.173897,31.496526
-80.204204,31.520824
-80.204365,31.509406
-80.209282,31.516315
-80.178456,31.490572
-80.186209,31.502112
-80.185633,31.480341
-80.184611,31.480685
-80.172792,31.495339
-80.191112,31.494724
-80.17391,31.485375
-80.194273,31.509521
-80.180618,31.501396
-80.188218,31.502323
-80.209967,31.517225
-80.166296,31.488494
-80.16943,31.496546
-80.167177,31.488058
-80.160171,31.501077
-80.167519,31.497505
-80.199786,31.5159
-80.179172,31.487076
-80.216361,31.515883
-80.170697,31.490091
-80.17499,31.483593
-80.18083,31.485213
-80.22155,31.515872
-80.206402,31.512584
-80.175087,31.484764
-80.205994,31.515635
-80.163316,31.483771
-80.215564,31.51785
-80.165788,31.490374
-80.198863,31.491786
-80.214025,31.524031
-80.181239,31.478565
-80.206159,31.496754
-80.167653,31.483389
-80.157211,31.492308
-80.188655,31.487672
-80.196032,31.49417
-80.209696,31.516771
-80.177109,31.481019
-80.196093,31.499927
-80.221297,31.514969
-80.194612,31.497296
-80.187454,31.481629
-80.184331,31.484098
-80.174936,31.484941
-80.184348,31.490933
-80.184191,31.484006
-80.207855,31.51962
-80.188795,31.487764
-80.204561,31.497089
-80.215898,31.527746
-80.222692,31.516159
-80.186404,31.482691
-80.175627,31.489269
-80.196015,31.509188
-80.187642,31.502314
-80.180015,31.491225
-80.182272,31.481548
-80.201073,31.512503
-80.215564,31.51785
-80.170772,31.488204
-80.189939,31.495246
-80.190828,31.501914
-80.183856,31.481573
-80.172057,31.492091
-80.193227,31.492239
-80.15954,31.491715
-80.194437,31.51267
-80.200994,31.492538
-80.173594,31.493284
-80.183028,31.495139
-80.209149,31.516043
-80.226358,31.52197
-80.195176,31.508545
-80.175821,31.484416
-80.158682,31.484418
-80.191108,31.502098
-80.209353,31.510831
-80.174717,31.494021
-80.18564,31.480162
-80.196,31.494979
-80.185373,31.479618
-80.161249,31.492191
-80.161525,31.49966
-80.159196,31.500252
-80.209245,31.506243
-80.178436,31.48023
-80.223353,31.521385
-80.174854,31.494202
-80.218297,31.517981
-80.21173,31.520039
-80.157067,31.492306
-80.162659,31.500127
-80.173782,31.495804
-80.200555,31.492711
-80.184331,31.484098
-80.179134,31.495258
-80.214861,31.517389
-80.216407,31.518402
-80.20517,31.50726
-80.186925,31.502213
-80.187321,31.492238
-80.175768,31.489361
-80.171129,31.486501
-80.161759,31.501012
-80.152888,31.485226
-80.150127,31.485812
-80.175821,31.484416
-80.179175,31.486986
-80.212538,31.52149
-80.161165,31.501452
-80.181114,31.48171
-80.173382,31.494989
-80.170697,31.490091
-80.205872,31.50772
-80.162041,31.490405
-80.154902,31.488854
-80.205256,31.516074
-80.215564,31.51785
-80.207044,31.496228
-80.188506,31.502328
-80.199159,31.498895
-80.209149,31.516043
-80.193318,31.500873
-80.184211,31.501632
-80.156898,31.492932
-80.166338,31.498206
-80.191404,31.501923
-80.215377,31.5263
-80.187403,31.490171
-80.17259,31.485984
-80.174121,31.501745
-80.216407,31.518402
-80.210648,31.518224
-80.193466,31.500785
-80.185212,31.501827
-80.187842,31.489998
-80.190721,31.490042
-80.204561,31.497089
-80.191006,31.490136
-80.210508,31.518132
-80.198341,31.508684
-80.175965,31.484418
-80.17707,31.485604
-80.203814,31.508768
-80.21173,31.520039
-80.215788,31.504724
-80.193878,31.504928
-80.177247,31.488395
-80.167415,31.48932
-80.195643,31.500369
-80.204084,31.509222
-80.18961,31.492633
-80.212208,31.526251
-80.194419,31.505836
-80.201702,31.522134
-80.162927,31.48988
-80.173172,31.482216
-80.220394,31.515945
-80.185519,31.483217
-80.211867,31.520221
-80.194664,31.506919
-80.170618,31.488471
-80.201558,31.522132
-80.150541,31.486268
-80.175965,31.484418
-80.215788,31.504724
-80.201949,31.493902
-80.166309,31.498925
-80.195616,31.490117
-80.197438,31.509659
-80.226723,31.519997
-80.211783,31.518691
-80.200508,31.508537
-80.176955,31.48848
-80.191484,31.488975
-80.19689,31.508931
-80.179316,31.487078
-80.175688,31.484144
-80.204439,31.507518
-80.177024,31.490369
-80.206549,31.512497
-80.174397,31.494825
-80.173309,31.485995
-80.159261,31.484337
-80.188092,31.494588
-80.173689,31.501738
-80.215781,31.508591
-80.21542,31.517847
-80.17975,31.497876
-80.192506,31.488631
-80.19859,31.498706
-80.215901,31.527656
-80.172241,31.494701
-80.20529,31.522549
-80.163537,31.499781
-80.173464,31.482131
-80.161304,31.490843
-80.194421,31.509433
-80.16337,31.489617
-80.226157,31.519719
-80.15129,31.48556
-80.180236,31.482056
-80.177112,31.480929
-80.157521,31.491773
-80.174054,31.485377
-80.198432,31.499063
