lng,lat
-60.198465,51.505538
-60.178838,51.491836
-60.20559,51.51491
-60.208327,51.514952
-60.206022,51.496572
-60.19361,51.500788
-60.173519,51.495171
-60.163542,51.492497
-60.21198,51.513659
-60.199786,51.5159
-60.216407,51.518402
-60.184495,51.501726
-60.172522,51.491289
-60.195797,51.492818
-60.166886,51.488143
-60.166882,51.488233
-60.214099,51.51477
-60.183889,51.484361
-60.207725,51.519259
-60.172964,51.491026
-60.163102,51.499864
-60.192941,51.488548
-60.193675,51.488199
-60.215564,51.51785
-60.185515,51.483307
-60.163793,51.496997
-60.158276,51.494483
-60.194671,51.506739
-60.167365,51.483385
-60.167321,51.48806
-60.172881,51.482302
-60.197319,51.509028
-60.160434,51.501711
-60.215936,51.504636
-60.215377,51.5263
-60.185591,51.485017
-60.164763,51.483614
-60.159271,51.501962
-60.18286,51.484885
-60.166709,51.492547
-60.165997,51.492356
-60.214056,51.519535
-60.205446,51.514908
-60.176955,51.48848
-60.15865,51.495928
-60.227035,51.519372
-60.192799,51.499426
-60.173334,51.481769
-60.196819,51.510729
-60.193059,51.50015
-60.157984,51.494568
-60.170251,51.486847
-60.22116,51.514787
-60.178139,51.487689
-60.21809,51.51591
-60.210203,51.511203
-60.214021,51.524121
-60.209563,51.516499
-60.178728,51.480144
-60.15588,51.489589
-60.203266,51.50804
-60.182567,51.481373
-60.215743,51.505892
-60.157499,51.492312
-60.205256,51.516074
-60.180503,51.486197
-60.193459,51.500965
-60.160914,51.496952
-60.210912,51.518858
-60.179323,51.486898
-60.190458,51.489409
-60.224558,51.520054
-60.201846,51.522136
-60.210248,51.517409
-60.181786,51.479293
-60.178436,51.48023
-60.156758,51.49284
-60.208464,51.515134
-60.193462,51.500875
-60.156165,51.489684
-60.19361,51.500788
-60.169718,51.492953
-60.202383,51.512163
-60.17626,51.484243
-60.167361,51.483474
-60.168203,51.487624
-60.198869,51.506264
-60.194628,51.49325
-60.167994,51.492837
-60.16662,51.487599
-60.167653,51.483389
-60.206229,51.498643
-60.186404,51.482691
-60.173331,51.481859
-60.18578,51.480254
-60.202664,51.497689
-60.173755,51.482045
-60.201527,51.508283
-60.19279,51.488725
-60.182712,51.484972
-60.170837,51.486586
-60.160578,51.501713
-60.161495,51.48608
-60.197795,51.511553
